Timestamp,Operation,BlockSize,Time,Fragmentation,Source,CallStack,MemoryAddress,ThreadID,AllocationID
2024-11-20 22:22:11,Allocation,128,4.58e-07,0.989502,sequentialAllocationTest,sequentialAllocationTest,0x16000aa30,0x1e515b240,Alloc42
2024-11-20 22:22:11,Allocation,128,3.75e-07,0.989258,sequentialAllocationTest,sequentialAllocationTest,0x16000ab30,0x1e515b240,Alloc43
2024-11-20 22:22:11,Allocation,128,5.83e-07,0.989014,sequentialAllocationTest,sequentialAllocationTest,0x16000ac30,0x1e515b240,Alloc44
2024-11-20 22:22:11,Allocation,128,3.34e-07,0.98877,sequentialAllocationTest,sequentialAllocationTest,0x16000ad30,0x1e515b240,Alloc45
2024-11-20 22:22:11,Allocation,128,5.42e-07,0.988525,sequentialAllocationTest,sequentialAllocationTest,0x16000ae30,0x1e515b240,Alloc46
2024-11-20 22:22:11,Allocation,128,3.33e-07,0.988281,sequentialAllocationTest,sequentialAllocationTest,0x16000af30,0x1e515b240,Alloc47
2024-11-20 22:22:11,Allocation,128,8.33e-07,0.988037,sequentialAllocationTest,sequentialAllocationTest,0x16000b030,0x1e515b240,Alloc48
2024-11-20 22:22:11,Allocation,128,3.33e-07,0.987793,sequentialAllocationTest,sequentialAllocationTest,0x16000b130,0x1e515b240,Alloc49
2024-11-20 22:22:11,Allocation,128,5e-07,0.987549,sequentialAllocationTest,sequentialAllocationTest,0x16000b230,0x1e515b240,Alloc50
2024-11-20 22:22:11,Allocation,128,3.33e-07,0.987305,sequentialAllocationTest,sequentialAllocationTest,0x16000b330,0x1e515b240,Alloc51
2024-11-20 22:22:11,Allocation,128,6.25e-07,0.987061,sequentialAllocationTest,sequentialAllocationTest,0x16000b430,0x1e515b240,Alloc52
2024-11-20 22:22:11,Allocation,128,3.34e-07,0.986816,sequentialAllocationTest,sequentialAllocationTest,0x16000b530,0x1e515b240,Alloc53
2024-11-20 22:22:11,Allocation,128,4.59e-07,0.986572,sequentialAllocationTest,sequentialAllocationTest,0x16000b630,0x1e515b240,Alloc54
2024-11-20 22:22:11,Allocation,128,3.34e-07,0.986328,sequentialAllocationTest,sequentialAllocationTest,0x16000b730,0x1e515b240,Alloc55
2024-11-20 22:22:11,Allocation,128,7.08e-07,0.986084,sequentialAllocationTest,sequentialAllocationTest,0x16000b830,0x1e515b240,Alloc56
2024-11-20 22:22:11,Allocation,128,4.17e-07,0.98584,sequentialAllocationTest,sequentialAllocationTest,0x16000b930,0x1e515b240,Alloc57
2024-11-20 22:22:11,Allocation,128,4.58e-07,0.985596,sequentialAllocationTest,sequentialAllocationTest,0x16000ba30,0x1e515b240,Alloc58
2024-11-20 22:22:11,Allocation,128,3.75e-07,0.985352,sequentialAllocationTest,sequentialAllocationTest,0x16000bb30,0x1e515b240,Alloc59
